indivID,day,date,budget,t_a01,t_a02,t_a03,t_a04,t_a05,t_a06,t_a07,t_a08,t_a09,t_a10,t_a11,t_a12,female,age,occ_full_time,weekend
19209,2,20170124,1440,39,0,0,54,4,0,0,0,71,1189,83,0,1,34.5,0,0
19209,3,20170125,1440,23,0,0,0,0,0,0,0,75,1254,88,0,1,34.5,0,0
19209,7,20170129,1440,0,0,0,140,0,0,0,0,0,1278,22,0,1,34.5,0,1
19209,8,20170130,1440,89,0,0,43,0,1,164,0,88,930,125,0,1,34.5,0,0
19209,9,20170131,1440,727,0,0,112,0,0,0,0,0,560,41,0,1,34.5,0,0
56459,2,20161202,1440,346,511,0,0,0,0,0,0,0,465,118,0,0,44.5,1,0
56459,3,20161203,1440,989,0,0,4,25,0,57,0,0,122,243,0,0,44.5,1,1
56459,6,20161206,1440,325,348,0,15,9,0,0,0,0,584,159,0,0,44.5,1,0
56459,13,20161213,1440,677,0,0,0,0,0,0,0,0,712,51,0,0,44.5,1,0
56459,14,20161214,1440,130,0,0,0,0,0,0,0,0,1182,128,0,0,44.5,1,0
62687,2,20161109,1440,0,0,0,104,72,0,384,0,34,703,143,0,1,44.5,0,0
62687,4,20161111,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,0,0
62687,6,20161113,1440,0,0,0,0,0,0,164,0,0,1216,60,0,1,44.5,0,1
62687,7,20161114,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,0,0
62687,8,20161115,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,0,0
62687,9,20161116,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,0,0
62687,10,20161117,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,0,0
62687,11,20161118,1440,0,121,0,0,0,0,0,0,0,1176,143,0,1,44.5,0,0
62687,12,20161119,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,0,1
62687,13,20161120,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,0,1
62687,14,20161121,1440,0,0,0,25,125,0,0,0,0,1247,43,0,1,44.5,0,0
72141,2,20161107,1440,0,0,0,0,64,0,55,0,0,1260,61,0,1,70,0,0
72141,3,20161108,1440,1095,0,0,0,0,0,0,0,0,340,5,0,1,70,0,0
72141,4,20161109,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,70,0,0
72141,7,20161112,1440,748,0,0,0,692,0,0,0,0,0,0,0,1,70,0,1
72141,8,20161113,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,70,0,1
72141,10,20161115,1440,295,0,0,0,0,0,0,0,0,1124,21,0,1,70,0,0
72141,12,20161117,1440,0,173,150,3,0,0,0,0,0,340,40,734,1,70,0,0
72433,3,20161108,1440,0,0,0,0,26,0,237,0,0,1058,119,0,1,34.5,0,0
72433,4,20161109,1440,691,0,0,0,0,0,0,0,0,734,15,0,1,34.5,0,0
72433,7,20161112,1440,0,0,0,112,0,0,314,0,0,939,75,0,1,34.5,0,1
72433,13,20161118,1440,0,0,0,5,4,0,449,0,0,949,33,0,1,34.5,0,0
77190,2,20161204,1440,0,0,0,0,0,0,2,0,123,1138,177,0,0,34.5,1,1
77190,8,20161210,1440,0,0,0,39,2,0,0,0,0,1290,109,0,0,34.5,1,1
77190,9,20161211,1440,0,0,0,0,0,0,345,0,0,1041,54,0,0,34.5,1,1
77190,11,20161213,1440,0,0,0,0,0,0,0,0,0,1440,0,0,0,34.5,1,0
77190,13,20161215,1440,2,0,0,2,7,0,0,0,0,1349,80,0,0,34.5,1,0
94584,2,20161123,1440,0,387,0,0,127,0,5,0,0,769,152,0,0,44.5,1,0
94584,4,20161125,1440,0,409,0,0,0,0,10,0,0,858,163,0,0,44.5,1,0
94584,5,20161126,1440,0,0,0,0,251,0,0,0,0,1095,94,0,0,44.5,1,1
94584,6,20161127,1440,0,0,0,0,0,0,0,0,0,1440,0,0,0,44.5,1,1
94584,8,20161129,1440,0,15,0,0,509,0,9,0,0,757,150,0,0,44.5,1,0
94584,11,20161202,1440,0,403,0,0,0,0,75,0,0,776,186,0,0,44.5,1,0
94584,12,20161203,1440,0,0,0,0,0,0,0,0,0,1440,0,0,0,44.5,1,1
118068,5,20161211,1440,346,0,0,5,0,0,0,0,0,1054,35,0,0,44.5,1,1
118068,7,20161213,1440,0,480,0,0,0,0,0,0,0,851,109,0,0,44.5,1,0
118068,8,20161214,1440,0,365,0,0,0,0,0,0,0,975,100,0,0,44.5,1,0
118068,9,20161215,1440,0,466,0,0,0,0,0,0,0,849,125,0,0,44.5,1,0
118068,10,20161216,1440,0,695,0,0,0,0,0,0,0,673,72,0,0,44.5,1,0
118068,11,20161217,1440,3,0,0,0,0,0,0,0,0,1369,68,0,0,44.5,1,1
118068,14,20161220,1440,0,0,0,84,0,0,0,0,0,1313,43,0,0,44.5,1,0
121881,5,20161113,1440,0,0,0,0,0,0,490,0,0,862,88,0,0,62.5,0,1
121881,6,20161114,1440,0,0,0,0,1,0,215,0,73,1054,97,0,0,62.5,0,0
121881,7,20161115,1440,0,0,0,0,0,0,0,0,55,1360,25,0,0,62.5,0,0
121881,11,20161119,1440,0,0,0,0,0,0,0,0,0,1440,0,0,0,62.5,0,1
121881,12,20161120,1440,11,0,0,16,0,0,0,0,62,1240,111,0,0,62.5,0,1
121881,13,20161121,1440,0,0,0,0,0,0,0,0,65,1353,22,0,0,62.5,0,0
121881,14,20161122,1440,0,0,0,0,4,0,365,0,45,642,384,0,0,62.5,0,0
143361,4,20161113,1440,0,458,0,0,0,0,24,0,0,874,84,0,1,44.5,1,1
143361,5,20161114,1440,0,477,0,0,0,0,0,0,0,900,63,0,1,44.5,1,0
143361,7,20161116,1440,0,0,0,3,0,0,0,0,0,1431,6,0,1,44.5,1,0
143361,9,20161118,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,1,0
143361,10,20161119,1440,0,0,0,0,0,0,0,0,0,1440,0,0,1,44.5,1,1
143361,12,20161121,1440,0,581,0,0,0,0,0,0,244,540,75,0,1,44.5,1,0
